Muu5.1;1;5.;;
Muu5.2;2;5.;;
Muu5.3;3;5.;;
Muu5.4;4;5.;;
Muu5.5;5;5.;;
Muu5.6;6;5.;;
Muu5.7;7;5.;;
Muu5.8;;;;
OP01.1;5;1.;;
OP01.2;5;1.;;
OP01.3;5;1.;;
OP01.4;5;1.;;
PS01.1;5;2;;
PS01.2;5;3.;;
PS01.3;2;4.;;
PS01.4;1;4.;jakso;
PS02.1;7;3.;;
PS02.2;4;5.;;
PS03.1;3;1.;;
PS03.2;;;;
PS04.1;4;2;;
PS04.2;;;;
PS05.1;5;1.;;
PS05.2;3;3.;;
PS07.1;7;2;;
PS08.1;1;1.;;
PS08.2;1;3.;;
RAA01.1;5;3.;;
RAA02.1;5;4.;;
RAA03.1;5;5.;;
RAA04.1;5;1.;;
RAA05.1;5;2;;
RAA06.1;2;4.;;
RAA07.1;7;2;;
RAA08.1;7;2;;
RAA09.1;2;3.;;
RAA11.1;8;1.;;
RAA12.1;8;2;;
RAB31.1;6;3.;;
RAB311.1;8;1.;;
RAB32.1;2;4.;;
RAB33.1;7;5.;;
RAB34.1;4;2;;
RAB35.1;5;4.;;
RAB36.1;5;5.;;
RAB37.1;5;1.;;
RAB38.1;5;2;;
RAB39.1;2;3.;;
RUA03.1;3;5.;;
RUA04.1;6;2;;
RUA05.1;4;4.;;
RUA06.1;1;5.;;
RUA07.1;2;1.;;
RUA08.1;7;2;;
RUA09.1;3;3.;;
RUB11.1;3;1.;;
RUB11.2;3;1.;;
RUB11.3;7;2;;
RUB11.4;7;2;;
RUB12.1;5;3.;;
RUB12.2;6;3.;;
RUB12.3;7;3.;;
RUB12.4;7;3.;;
RUB13.1;1;5.;;
RUB13.2;3;5.;;
RUB13.3;5;5.;;
RUB14.1;2;2;;
RUB14.2;6;2;;
RUB14.3;4;2;;
RUB15.1;3;4.;;
RUB15.2;7;4.;;
